single,singleLabel,releaseDate,genreLabel,performerLabel,citizenshipLabel,youtubeID,viewCountSample,lat,lon,latlon
http://www.wikidata.org/entity/Q117814756,Boat,2023-04-21T00:00:00Z,pop music,Ed Sheeran,United Kingdom,mKEphyIbtXo,3245636,54.6,-2,"54.6, -2"
http://www.wikidata.org/entity/Q122242301,Pardes Katenda,2023-07-15T00:00:00Z,folk music,Adnan Dhool,Pakistan,rQCdEuyVriU,3078611,30,71,"30, 71"
http://www.wikidata.org/entity/Q118899092,Stars,2023-05-19T00:00:00Z,electronic music,Bebe Rexha,United States of America,Aox5s2s_SEI,3043767,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q116855457,Évidemment,2023-02-19T00:00:00Z,pop music,La Zarra,Canada,GWfbEFH9NvQ,2946058,56,-109,"56, -109"
http://www.wikidata.org/entity/Q123984397,Petit fou fou,2023-12-15T00:00:00Z,hip hop music,Anna,Italy,9LJ2Gr2qQrU,2931744,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q123485824,Quer Dançar,2023-11-09T00:00:00Z,pop music,Priscilla,Brazil,MIFiVAnML04,2869514,-14,-53,"-14, -53"
http://www.wikidata.org/entity/Q116695004,Il bene nel male,2023-02-09T00:00:00Z,contemporary R&B,Madame,Italy,Nq-u9jV1uEg,2848368,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q119716622,Steal the Show,2023-06-02T00:00:00Z,pop music,Lauv,United States of America,q7BmlOUk-II,2590203,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q120749290,DNA,2023-03-10T00:00:00Z,pop music,Chris Mears,United Kingdom,pKHbsVjmvJE,2565920,54.6,-2,"54.6, -2"
http://www.wikidata.org/entity/Q116457686,Trustfall,2023-01-27T00:00:00Z,pop music,Pink,United States of America,D2KE2a5qo0g,2458804,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q123514880,Baba,2023-11-17T00:00:00Z,pop music,Ghali,Italy,qFT76NtIg24,2444228,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q129235397,1 messaggio,2023-09-29T00:00:00Z,pop music,Icy Subzero,Italy,h5EGtDZmXcA,2220891,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q116695029,Made in Italy,2023-02-09T00:00:00Z,dance-pop,Rosa Chemical,Italy,UQuoY73tUsw,2153315,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q117808165,Lentamente,2023-03-23T00:00:00Z,pop music,Ana Mena,Spain,ErhhEdfcKlU,2146107,40.2,-3.5,"40.2, -3.5"
http://www.wikidata.org/entity/Q123751902,Dano Sarrada,2023-11-23T00:00:00Z,pop music,Marina Sena,Brazil,3ruHSXEufOA,2139761,-14,-53,"-14, -53"
http://www.wikidata.org/entity/Q120532838,Don't Think Twice,2023-06-30T00:00:00Z,house music,Rita Ora,United Kingdom,fN1geMqHk9M,1986737,54.6,-2,"54.6, -2"
http://www.wikidata.org/entity/Q117707668,Un briciolo di allegria,2023-04-14T00:00:00Z,pop music,Mina,Italy,0UITfDm-8Bk,1856965,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q116275566,Giddy Up!,2023-01-05T00:00:00Z,dance-pop,Shania Twain,Canada,-6BGu-GyKWQ,1834957,56,-109,"56, -109"
http://www.wikidata.org/entity/Q122921350,Golden,2023-05-10T00:00:00Z,pop music,LP,United States of America,whwMBPc1EBE,1824029,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q117044671,Still Alive,2023-03-03T00:00:00Z,pop-punk,Demi Lovato,United States of America,qO4mFC1OIBg,1822264,39.828175,-98.5795,"39.828175, -98.5795"
